Groups:
AD9226_0_BITS[11..0] =, AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0],  signed decimal
AD9226_1_BITS[11..0] =, AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0],  signed decimal

Data:
time unit: s, AD9226_0_BITS[11..0], AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0], AD9226_1_BITS[11..0], AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 240, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 
2, 244, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 311, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 
3, 241, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 
4, 243, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 311, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 
5, 239, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
6, 241, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
7, 241, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
8, 242, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 308, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 
9, 241, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 
10, 240, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
11, 246, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 
12, 240, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 311, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 
