Groups:
Filter:Filter_0_inst|Filter_bits[11..0] =, Filter:Filter_0_inst|Filter_bits[11], Filter:Filter_0_inst|Filter_bits[10], Filter:Filter_0_inst|Filter_bits[9], Filter:Filter_0_inst|Filter_bits[8], Filter:Filter_0_inst|Filter_bits[7], Filter:Filter_0_inst|Filter_bits[6], Filter:Filter_0_inst|Filter_bits[5], Filter:Filter_0_inst|Filter_bits[4], Filter:Filter_0_inst|Filter_bits[3], Filter:Filter_0_inst|Filter_bits[2], Filter:Filter_0_inst|Filter_bits[1], Filter:Filter_0_inst|Filter_bits[0],  signed decimal

Data:
time unit: s, Filter:Filter_0_inst|Filter_bits[11..0], Filter:Filter_0_inst|Filter_bits[11], Filter:Filter_0_inst|Filter_bits[10], Filter:Filter_0_inst|Filter_bits[9], Filter:Filter_0_inst|Filter_bits[8], Filter:Filter_0_inst|Filter_bits[7], Filter:Filter_0_inst|Filter_bits[6], Filter:Filter_0_inst|Filter_bits[5], Filter:Filter_0_inst|Filter_bits[4], Filter:Filter_0_inst|Filter_bits[3], Filter:Filter_0_inst|Filter_bits[2], Filter:Filter_0_inst|Filter_bits[1], Filter:Filter_0_inst|Filter_bits[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 53, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 
2, 57, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 
3, 58, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 
4, 56, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
5, 52, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 
6, 45, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 
7, 36, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 
8, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 
9, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
11, -12, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 
12, -23, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 
13, -33, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 
14, -41, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 
15, -46, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 
16, -50, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 
17, -51, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 
18, -49, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 
19, -45, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 
20, -38, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 
21, -29, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 
22, -18, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 
23, -6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 
24, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
25, 19, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 
26, 31, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 
27, 41, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 
28, 50, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
29, 56, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
30, 59, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 
31, 60, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 
32, 57, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 
33, 52, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 
34, 44, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 
35, 34, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
