Groups:
AD9226_0_BITS[11..0] =, AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0],  signed decimal
AD9226_1_BITS[11..0] =, AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0],  signed decimal

Data:
time unit: s, AD9226_0_BITS[11..0], AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0], AD9226_1_BITS[11..0], AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1, -202, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 109, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 
2, -245, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 109, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 
3, -284, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 111, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 
4, -328, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 112, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 
5, -356, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 111, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 
6, -417, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 110, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 
7, -430, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 111, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 
8, -495, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 108, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 
9, -469, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 109, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 
