Groups:
AD9226_0_BITS[11..0] =, AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0],  signed decimal
AD9226_1_BITS[11..0] =, AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0],  signed decimal

Data:
time unit: s, AD9226_0_BITS[11..0], AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0], AD9226_1_BITS[11..0], AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 312, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 969, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 
2, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 992, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 
3, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1022, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 
4, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1049, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 
5, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1139, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 
6, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1099, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 
7, 306, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1102, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 
8, 312, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1133, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 
9, 311, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1201, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
10, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1190, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
11, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1193, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 
12, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1205, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 
13, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1220, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
14, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1233, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 
15, 312, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1412, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 
16, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1255, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 
17, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1436, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 
18, 311, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1270, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 
19, 308, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1272, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 
20, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1286, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 
21, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1291, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 
22, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1289, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 
23, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1292, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 
24, 312, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1292, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 
