Groups:
Filter:Filter_0_inst|Filter_bits[11..0] =, Filter:Filter_0_inst|Filter_bits[11], Filter:Filter_0_inst|Filter_bits[10], Filter:Filter_0_inst|Filter_bits[9], Filter:Filter_0_inst|Filter_bits[8], Filter:Filter_0_inst|Filter_bits[7], Filter:Filter_0_inst|Filter_bits[6], Filter:Filter_0_inst|Filter_bits[5], Filter:Filter_0_inst|Filter_bits[4], Filter:Filter_0_inst|Filter_bits[3], Filter:Filter_0_inst|Filter_bits[2], Filter:Filter_0_inst|Filter_bits[1], Filter:Filter_0_inst|Filter_bits[0],  signed decimal
Filter:Filter_1_inst|Filter_bits[11..0] =, Filter:Filter_1_inst|Filter_bits[11], Filter:Filter_1_inst|Filter_bits[10], Filter:Filter_1_inst|Filter_bits[9], Filter:Filter_1_inst|Filter_bits[8], Filter:Filter_1_inst|Filter_bits[7], Filter:Filter_1_inst|Filter_bits[6], Filter:Filter_1_inst|Filter_bits[5], Filter:Filter_1_inst|Filter_bits[4], Filter:Filter_1_inst|Filter_bits[3], Filter:Filter_1_inst|Filter_bits[2], Filter:Filter_1_inst|Filter_bits[1], Filter:Filter_1_inst|Filter_bits[0],  signed decimal

Data:
time unit: s, Filter:Filter_0_inst|Filter_bits[11..0], Filter:Filter_0_inst|Filter_bits[11], Filter:Filter_0_inst|Filter_bits[10], Filter:Filter_0_inst|Filter_bits[9], Filter:Filter_0_inst|Filter_bits[8], Filter:Filter_0_inst|Filter_bits[7], Filter:Filter_0_inst|Filter_bits[6], Filter:Filter_0_inst|Filter_bits[5], Filter:Filter_0_inst|Filter_bits[4], Filter:Filter_0_inst|Filter_bits[3], Filter:Filter_0_inst|Filter_bits[2], Filter:Filter_0_inst|Filter_bits[1], Filter:Filter_0_inst|Filter_bits[0], Filter:Filter_1_inst|Filter_bits[11..0], Filter:Filter_1_inst|Filter_bits[11], Filter:Filter_1_inst|Filter_bits[10], Filter:Filter_1_inst|Filter_bits[9], Filter:Filter_1_inst|Filter_bits[8], Filter:Filter_1_inst|Filter_bits[7], Filter:Filter_1_inst|Filter_bits[6], Filter:Filter_1_inst|Filter_bits[5], Filter:Filter_1_inst|Filter_bits[4], Filter:Filter_1_inst|Filter_bits[3], Filter:Filter_1_inst|Filter_bits[2], Filter:Filter_1_inst|Filter_bits[1], Filter:Filter_1_inst|Filter_bits[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 113, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 
2, 21, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 117, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 
3, 29, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 
4, 36, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 107, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 
5, 41, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 94, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 
6, 44, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 76, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 
7, 45, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 54, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 
8, 44, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 
9, 42, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
10, 37, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, -24, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 
11, 30, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, -50, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 
12, 22, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, -73, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 
13, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, -92, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 
